company	priority
Dabvine	35
Wordtune	100
Centimia	98
Miboo	43
Twimbo	7
Livetube	89
Vitz	51
Kaymbo	78
Eidel	37
Wikido	42
Zoombeat	11
LiveZ	77
Skyba	66
Twitternation	75
Youtags	66
Eamia	36
Roomm	63
Topicware	58
Zoomdog	42
Quinu	82
Dabfeed	67
Skyba	7
Twimbo	18
Mudo	1
Edgetag	85
Ooba	96
Trudoo	13
Divanoodle	53
Devpoint	94
Voomm	81
Yadel	69
Feedmix	99
Zoomzone	54
Youopia	46
Oba	1
Babbleopia	33
Voomm	11
Gabvine	58
Feedbug	16
Eayo	73
Roodel	36
Viva	65
Eayo	67
Youtags	63
Tekfly	99
Oodoo	7
Trudeo	47
Dabtype	57
Livetube	11
Edgetag	13
Linkbuzz	76
Oozz	66
Tambee	18
Jabberbean	73
Thoughtworks	42
Thoughtstorm	40
Youtags	42
Browsebug	76
Izio	10
Flashspan	7
Shufflester	1
Feedfish	63
Eazzy	33
Brainverse	63
Livefish	30
Youbridge	15
Edgepulse	18
Jaxbean	73
Gigashots	32
Skyndu	40
Brainfire	62
Vidoo	34
Avamm	37
Rhycero	45
Jaxspan	16
Dablist	15
Yacero	50
Latz	59
Photobean	84
Voolia	36
Miboo	31
Photofeed	89
Vitz	82
Flipopia	38
Eimbee	16
Edgewire	16
Skivee	32
Leexo	70
Thoughtbridge	44
Buzzshare	34
Fivespan	88
Mudo	84
Bluezoom	98
Oba	81
Realfire	34
Livetube	49
Feedbug	12
Eadel	34
Babblestorm	17
Buzzdog	65
Dynava	77
Yakitri	43
Photobean	94
Twimbo	33
Jayo	18
Kamba	4
Quire	63
Zoozzy	3
Twitterbeat	25
Aimbu	88
Quamba	83
Skivee	37
Skyba	21
Yotz	79
Leenti	26
Fiveclub	62
Vipe	45
Trudeo	69
Photobug	72
Photofeed	13
Topicstorm	24
Rhycero	33
Browseblab	24
Pixonyx	61
Voonyx	41
Muxo	22
Katz	27
Agivu	86
Kaymbo	54
Dabfeed	10
Thoughtworks	15
Wikizz	11
Dazzlesphere	74
Yakitri	6
Digitube	67
Oyope	28
Topiclounge	53
Topiczoom	3
Meevee	46
Voonder	69
Realbuzz	65
Voomm	16
Twinte	71
Edgetag	57
Buzzshare	79
Thoughtstorm	52
